doc_id,grid_acc,grid_ade,grid_fde,grid_transition_acc,token_f1
488,0.125,1.0187196422123423,1.4142135623730951,0.0,0.18181818181818182
489,0.125,0.47085679498940713,0.0,0.0,0.125
490,0.0,1.0678090415820636,1.4142135623730951,0.0,0.0
491,0.125,1.0088834764831844,1.4142135623730951,0.0,0.18181818181818182
492,0.125,0.47085679498940713,0.0,0.0,0.125
493,0.125,1.0088834764831844,1.4142135623730951,0.0,0.18181818181818182
494,0.0,1.060386308879009,1.4142135623730951,0.0,0.36363636363636365
495,0.125,1.0187196422123423,1.4142135623730951,0.0,0.36363636363636365
496,0.125,1.0088834764831844,1.4142135623730951,0.0,0.18181818181818182
497,0.125,1.0088834764831844,1.4142135623730951,0.0,0.18181818181818182
498,0.125,1.0088834764831844,1.4142135623730951,0.0,0.18181818181818182
499,0.125,1.0187196422123423,1.4142135623730951,0.0,0.18181818181818182
500,0.25,0.4291901283227405,0.0,0.14285714285714285,0.25
501,0.125,0.47085679498940713,0.0,0.0,0.125
502,0.125,1.0088834764831844,1.4142135623730951,0.0,0.18181818181818182
503,0.125,0.47085679498940713,0.0,0.0,0.125
504,0.125,1.0088834764831844,1.4142135623730951,0.0,0.18181818181818182
505,0.0,1.060386308879009,1.4142135623730951,0.0,0.36363636363636365
506,0.25,0.9672168098165178,1.4142135623730951,0.14285714285714285,0.36363636363636365
507,0.125,1.0088834764831844,1.4142135623730951,0.0,0.18181818181818182
508,0.125,1.0187196422123423,1.4142135623730951,0.0,0.36363636363636365
509,0.125,1.0088834764831844,1.4142135623730951,0.0,0.18181818181818182
510,0.0,1.0776452073112215,1.4142135623730951,0.0,0.18181818181818182
511,0.125,1.0088834764831844,1.4142135623730951,0.0,0.18181818181818182
512,0.125,1.0088834764831844,1.4142135623730951,0.0,0.36363636363636365
513,0.125,1.0088834764831844,1.4142135623730951,0.0,0.36363636363636365
514,0.125,0.34344336196330355,0.33333333333333337,0.0,0.11764705882352941
515,0.125,0.37768729592691586,0.33333333333333337,0.0,0.25
516,0.125,0.34344336196330355,0.33333333333333337,0.0,0.125
517,0.125,1.0088834764831844,1.4142135623730951,0.0,0.18181818181818182
518,0.125,1.0088834764831844,1.4142135623730951,0.0,0.18181818181818182
519,0.125,1.0088834764831844,1.4142135623730951,0.0,0.36363636363636365
520,0.0,0.5125234616560739,0.33333333333333337,0.0,0.25
521,0.25,0.37768729592691586,0.0,0.0,0.25
522,0.125,0.45359789655719485,0.0,0.0,0.25
523,0.125,0.4363389981249825,0.33333333333333337,0.0,0.35294117647058826
524,0.125,0.34344336196330355,0.33333333333333337,0.0,0.125
525,0.125,1.0088834764831844,1.4142135623730951,0.0,0.36363636363636365
526,0.125,1.0088834764831844,1.4142135623730951,0.0,0.18181818181818182
527,0.125,1.0088834764831844,1.4142135623730951,0.0,0.18181818181818182
528,0.0,1.0505501431498512,1.4142135623730951,0.0,0.36363636363636365
529,0.125,1.0088834764831844,1.4142135623730951,0.0,0.18181818181818182
530,0.125,1.0088834764831844,1.4142135623730951,0.0,0.18181818181818182
531,0.125,0.9672168098165178,1.4142135623730951,0.0,0.36363636363636365
532,0.125,0.9672168098165178,1.4142135623730951,0.0,0.36363636363636365
533,0.125,0.9672168098165178,1.4142135623730951,0.0,0.36363636363636365
534,0.125,0.39494619435912814,0.33333333333333337,0.14285714285714285,0.375
535,0.125,0.5053745918538317,0.0,0.0,0.375
536,0.0,1.4142135623730951,1.4142135623730951,0.0,0.0
537,0.125,1.0088834764831844,1.4142135623730951,0.0,0.36363636363636365
