cohort,cer,effective_fps,exact_match,family_label,label,mean_wall_time_s,method,model,open_mos,patch_ratio,rank,raw_sample_sha256,recompute_ratio,reference_recompute_ratio,role,samples,source,telemetry_summary_sha256,throughput_fps,token_f1,wer
educational_grt_controls,,,,LLaVA-OneVision 0.5B Route31,Matched quality baseline,2.040101487381706,llava_onevision_0_5b_hf_route31_base,,0.1167192429022082,1,,971dc00f301dee8eef0f95e3d20cb5a93b1baf78a1eb4d2b6da3fb3af506f854,,,matched_control,634,,c2903440a95be185cd487f01ea9e428bc9d84840c85f09f883a024cdfca68aa9,4.819282307570976,0.01398149132599728,
educational_grt_controls,,,,LLaVA-OneVision 0.5B Route31,Matched all-patch control,2.009076788643532,llava_onevision_0_5b_hf_route31_exact,,0.1167192429022082,1,,971dc00f301dee8eef0f95e3d20cb5a93b1baf78a1eb4d2b6da3fb3af506f854,,,matched_control,634,,fd94bfb18cbcb1bc8b00225a664559a318de0141eb849d6721c832243926bc84,4.823898515772871,0.01398149132599728,
educational_grt_controls,,,,LLaVA-OneVision 0.5B Route31,GRT candidate,2.009110331230287,grt_llava_onevision_0_5b_hf_route31_t0001,,0.11987381703470032,0.8671541327517492,,32f620409b2735ec67ae73562117e9c2d0bdf875974b510771a3389962b90b01,,,candidate,634,,5dc44d85018cd8728e820d2376a568719588e6f149b2c519a9ae244a60b840fd,4.865135906940061,0.014196368250678385,
educational_grt_controls,,,,Qwen2.5-VL 3B t03,Archived public baseline,,qwen2_5_vl_3b,,1.135646687697161,,,2d79feadfe854a6fb78f27f1e53cba73eb10f5d5494332a2df634f6ba9939a2a,,,archived_public,634,,,,0.03433883131964181,
educational_grt_controls,,,,Qwen2.5-VL 3B t03,Matched all-patch control,5.424607438485809,qwen2_5_vl_3b_grt_all,,1.5583596214511042,1,,e20a88913dc6490bef5b94b59dcb7e33ab201abab76f9c6435d1c07afba7ece2,,,matched_control,634,,ba6c71f1b2c4e27115d4ec7e35162e28b90cfb451ede10f56862e70cd6bf6061,1.7499402318611985,0.09913584373152082,
educational_grt_controls,,,,Qwen2.5-VL 3B t03,Matched quality baseline,5.880135175078864,qwen2_5_vl_3b_quality_base,,1.553627760252366,1,,55847d30679c2a34fea654edd259b25c5d54ba2682817be7970e0e7246e279a2,,,matched_control,634,,56e85633e9cb0c9e52d93aaf4b6fe32729ecd23cc791247e3639ee5b5a71fc08,1.6317214921135637,0.09889159179657736,
educational_grt_controls,,,,Qwen2.5-VL 3B t03,GRT candidate,5.7015749968454275,grt_qwen2_5_vl_3b_t03,,1.5899053627760253,0.8856587587716475,,fe8b77d5d0cb8b2e1eeded166c3bd847b85fa911a91b54d75b789e4d99282c67,,,candidate,634,,baaa9acac9eaa4257995ccfc02ddef95512248473086e5b84c1dd165c0caf20f,1.6726384037854896,0.09958369460437803,
educational_grt_controls,,,,Qwen2.5-VL 7B route floor,Archived public baseline,,qwen2_5_vl_7b,,1.2839116719242902,,,ff30e4b5ad1f2bfbb30a30c868ce0b02da1620f25894e8775c9942aae1fd5ccc,,,archived_public,634,,,,0.03478459844603571,
educational_grt_controls,,,,Qwen2.5-VL 7B route floor,Matched all-patch control,3.3956156119873797,qwen2_5_vl_7b_floor_grt_all,,1.5757097791798107,1,,82ecadc100d8f93ae220f78e5300b081bd2a5dbd53908c0b68b08a3c97cf02e4,,,matched_control,634,,d71a80e9278f3913b5b8be9cd4d43f8f1bd8e9eba95f9de814eb35a6e44ad469,2.466448772870663,0.04877739573780698,
educational_grt_controls,,,,Qwen2.5-VL 7B route floor,Matched quality baseline,3.435501006309151,qwen2_5_vl_7b_floor_quality_base,,1.5757097791798107,1,,82ecadc100d8f93ae220f78e5300b081bd2a5dbd53908c0b68b08a3c97cf02e4,,,matched_control,634,,a7915bc97c3a0216a943337452015a2fdf3d032f6a6d5cbaf09f860bc73a3a1f,2.437303171924289,0.04877739573780698,
educational_grt_controls,,,,Qwen2.5-VL 7B route floor,GRT candidate,3.381258419558356,grt_qwen2_5_vl_7b_dual_floor_s080_o055_cap48,,1.5914826498422714,0.8477193716603361,,f97e9a6d96d4518831004b1917b1b21ad281f3379130524945e25b9d1b2943f4,,,candidate,634,,270ff289c1c1eecf37d9b7132cf258c8a9677197a08f1e137c0d24c75de66cec,2.4804290173501595,0.048908690353566486,
